"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"02-09-2020";"15-09-2020";2;7,9;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"02-09-2020";"15-09-2020";31;97,3;0;0;0;0
"Aalten";197;"Aalten";27121;"02-09-2020";"15-09-2020";7;25,8;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"02-09-2020";"15-09-2020";4;14,4;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"02-09-2020";"15-09-2020";18;89,3;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"02-09-2020";"15-09-2020";34;132,9;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"02-09-2020";"15-09-2020";48;43,9;1;0,9;0;0
"Almelo";141;"Almelo";73107;"02-09-2020";"15-09-2020";24;32,8;0;0;0;0
"Almere";34;"Almere";211893;"02-09-2020";"15-09-2020";265;125,1;2;0,9;1;0,5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"02-09-2020";"15-09-2020";115;102,8;1;0,9;1;0,9
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"02-09-2020";"15-09-2020";7;68,6;0;0;0;0
"Altena";1959;"Altena";55967;"02-09-2020";"15-09-2020";5;8,9;1;1,8;0;0
"Ameland";60;"Ameland";3716;"02-09-2020";"15-09-2020";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"02-09-2020";"15-09-2020";137;87,1;5;3,2;0;0
"Amstelveen";362;"Amstelveen";91675;"02-09-2020";"15-09-2020";124;135,3;0;0;1;1,1
"Amsterdam";363;"Amsterdam";872757;"02-09-2020";"15-09-2020";2331;267,1;32;3,7;4;0,5
"Apeldoorn";200;"Apeldoorn";163818;"02-09-2020";"15-09-2020";54;33;1;0,6;0;0
"Appingedam";3;"Appingedam";11642;"02-09-2020";"15-09-2020";4;34,4;0;0;0;0
"Arnhem";202;"Arnhem";161348;"02-09-2020";"15-09-2020";100;62;1;0,6;1;0,6
"Assen";106;"Assen";68599;"02-09-2020";"15-09-2020";16;23,3;0;0;0;0
"Asten";743;"Asten";16721;"02-09-2020";"15-09-2020";10;59,8;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"02-09-2020";"15-09-2020";0;0;0;0;0;0
"Baarn";308;"Baarn";24868;"02-09-2020";"15-09-2020";14;56,3;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"02-09-2020";"15-09-2020";82;168,3;0;0;0;0
"Barneveld";203;"Barneveld";59082;"02-09-2020";"15-09-2020";9;15,2;0;0;1;1,7
"Beek";888;"Beek";15865;"02-09-2020";"15-09-2020";2;12,6;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"02-09-2020";"15-09-2020";13;36,2;0;0;0;0
"Beemster";370;"Beemster";10022;"02-09-2020";"15-09-2020";6;59,9;0;0;0;0
"Beesel";889;"Beesel";13482;"02-09-2020";"15-09-2020";0;0;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"02-09-2020";"15-09-2020";18;51,4;2;5,7;0;0
"Bergeijk";1724;"Bergeijk";18635;"02-09-2020";"15-09-2020";50;268,3;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"02-09-2020";"15-09-2020";6;45,9;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"02-09-2020";"15-09-2020";9;30,2;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"02-09-2020";"15-09-2020";35;51,9;1;1,5;0;0
"Berkelland";1859;"Berkelland";43747;"02-09-2020";"15-09-2020";14;32;1;2,3;0;0
"Bernheze";1721;"Bernheze";31240;"02-09-2020";"15-09-2020";13;41,6;0;0;0;0
"Best";753;"Best";29988;"02-09-2020";"15-09-2020";17;56,7;0;0;0;0
"Beuningen";209;"Beuningen";25890;"02-09-2020";"15-09-2020";19;73,4;0;0;0;0
"Beverwijk";375;"Beverwijk";41626;"02-09-2020";"15-09-2020";43;103,3;0;0;0;0
"Bladel";1728;"Bladel";20390;"02-09-2020";"15-09-2020";17;83,4;0;0;0;0
"Blaricum";376;"Blaricum";11540;"02-09-2020";"15-09-2020";9;78;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"02-09-2020";"15-09-2020";30;127,3;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"02-09-2020";"15-09-2020";37;106,1;0;0;0;0
"Boekel";755;"Boekel";10785;"02-09-2020";"15-09-2020";4;37,1;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"02-09-2020";"15-09-2020";1;3,9;0;0;0;0
"Borne";147;"Borne";23312;"02-09-2020";"15-09-2020";5;21,4;0;0;0;0
"Borsele";654;"Borsele";22739;"02-09-2020";"15-09-2020";8;35,2;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"02-09-2020";"15-09-2020";4;13,6;0;0;0;0
"Boxtel";757;"Boxtel";30801;"02-09-2020";"15-09-2020";6;19,5;0;0;0;0
"Breda";758;"Breda";184069;"02-09-2020";"15-09-2020";81;44;0;0;0;0
