"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"05-08-2020";"18-08-2020";6;18,8;0;0;0;0
"Aalten";197;"Aalten";27121;"05-08-2020";"18-08-2020";2;7,4;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"05-08-2020";"18-08-2020";3;10,8;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"05-08-2020";"18-08-2020";4;19,8;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"05-08-2020";"18-08-2020";12;46,9;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"05-08-2020";"18-08-2020";24;21,9;0;0;0;0
"Almelo";141;"Almelo";73107;"05-08-2020";"18-08-2020";3;4,1;0;0;0;0
"Almere";34;"Almere";211893;"05-08-2020";"18-08-2020";115;54,3;3;1,4;1;0,5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"05-08-2020";"18-08-2020";28;25;2;1,8;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"05-08-2020";"18-08-2020";3;29,4;0;0;0;0
"Altena";1959;"Altena";55967;"05-08-2020";"18-08-2020";12;21,4;0;0;0;0
"Ameland";60;"Ameland";3716;"05-08-2020";"18-08-2020";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"05-08-2020";"18-08-2020";51;32,4;3;1,9;0;0
"Amstelveen";362;"Amstelveen";91675;"05-08-2020";"18-08-2020";57;62,2;1;1,1;0;0
"Amsterdam";363;"Amsterdam";872757;"05-08-2020";"18-08-2020";1472;168,7;15;1,7;7;0,8
"Apeldoorn";200;"Apeldoorn";163818;"05-08-2020";"18-08-2020";23;14;0;0;0;0
"Appingedam";3;"Appingedam";11642;"05-08-2020";"18-08-2020";1;8,6;0;0;0;0
"Arnhem";202;"Arnhem";161348;"05-08-2020";"18-08-2020";41;25,4;1;0,6;0;0
"Assen";106;"Assen";68599;"05-08-2020";"18-08-2020";3;4,4;0;0;0;0
