"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"10-06-2020";"23-06-2020";3;9,4;0;0;0;0
"Aalten";197;"Aalten";27121;"10-06-2020";"23-06-2020";2;7,4;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"10-06-2020";"23-06-2020";2;1,8;0;0;0;0
"Almelo";141;"Almelo";73107;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Almere";34;"Almere";211893;"10-06-2020";"23-06-2020";9;4,2;0;0;1;0,5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"10-06-2020";"23-06-2020";6;5,4;1;0,9;1;0,9
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Altena";1959;"Altena";55967;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Ameland";60;"Ameland";3716;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"10-06-2020";"23-06-2020";8;5,1;0;0;0;0
"Amstelveen";362;"Amstelveen";91675;"10-06-2020";"23-06-2020";10;10,9;0;0;0;0
"Amsterdam";363;"Amsterdam";872757;"10-06-2020";"23-06-2020";161;18,4;1;0,1;3;0,3
"Apeldoorn";200;"Apeldoorn";163818;"10-06-2020";"23-06-2020";24;14,7;0;0;0;0
"Appingedam";3;"Appingedam";11642;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Arnhem";202;"Arnhem";161348;"10-06-2020";"23-06-2020";25;15,5;0;0;3;1,9
"Assen";106;"Assen";68599;"10-06-2020";"23-06-2020";3;4,4;0;0;0;0
"Asten";743;"Asten";16721;"10-06-2020";"23-06-2020";2;12;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Baarn";308;"Baarn";24868;"10-06-2020";"23-06-2020";2;8;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"10-06-2020";"23-06-2020";11;22,6;0;0;0;0
"Barneveld";203;"Barneveld";59082;"10-06-2020";"23-06-2020";4;6,8;0;0;0;0
"Beek";888;"Beek";15865;"10-06-2020";"23-06-2020";0;0;1;6,3;1;6,3
"Beekdaelen";1954;"Beekdaelen";35938;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Beemster";370;"Beemster";10022;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Beesel";889;"Beesel";13482;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"10-06-2020";"23-06-2020";12;34,3;0;0;0;0
"Bergeijk";1724;"Bergeijk";18635;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"10-06-2020";"23-06-2020";1;7,6;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"10-06-2020";"23-06-2020";5;7,4;0;0;0;0
"Berkelland";1859;"Berkelland";43747;"10-06-2020";"23-06-2020";4;9,1;0;0;0;0
"Bernheze";1721;"Bernheze";31240;"10-06-2020";"23-06-2020";4;12,8;0;0;0;0
"Best";753;"Best";29988;"10-06-2020";"23-06-2020";4;13,3;0;0;0;0
"Beuningen";209;"Beuningen";25890;"10-06-2020";"23-06-2020";1;3,9;0;0;0;0
"Beverwijk";375;"Beverwijk";41626;"10-06-2020";"23-06-2020";3;7,2;0;0;0;0
"Bladel";1728;"Bladel";20390;"10-06-2020";"23-06-2020";5;24,5;0;0;0;0
"Blaricum";376;"Blaricum";11540;"10-06-2020";"23-06-2020";2;17,3;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Boekel";755;"Boekel";10785;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Borne";147;"Borne";23312;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Borsele";654;"Borsele";22739;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"10-06-2020";"23-06-2020";4;13,6;0;0;0;0
"Boxtel";757;"Boxtel";30801;"10-06-2020";"23-06-2020";16;51,9;0;0;0;0
"Breda";758;"Breda";184069;"10-06-2020";"23-06-2020";16;8,7;1;0,5;1;0,5
"Brielle";501;"Brielle";17271;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Brummen";213;"Brummen";20726;"10-06-2020";"23-06-2020";1;4,8;0;0;0;0
"Brunssum";899;"Brunssum";27821;"10-06-2020";"23-06-2020";3;10,8;0;0;1;3,6
"Bunnik";312;"Bunnik";15191;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Bunschoten";313;"Bunschoten";21866;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Buren";214;"Buren";26749;"10-06-2020";"23-06-2020";3;11,2;1;3,7;1;3,7
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"10-06-2020";"23-06-2020";10;14,9;0;0;0;0
"Castricum";383;"Castricum";35986;"10-06-2020";"23-06-2020";0;0;0;0;0;0
"Coevorden";109;"Coevorden";35297;"10-06-2020";"23-06-2020";0;0;0;0;0;0
