"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"11-11-2020";"24-11-2020";52;204,4;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"11-11-2020";"24-11-2020";135;423,7;2;6,3;4;12,6
"Aalten";197;"Aalten";27121;"11-11-2020";"24-11-2020";96;354;0;0;1;3,7
"Achtkarspelen";59;"Achtkarspelen";27843;"11-11-2020";"24-11-2020";49;176;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"11-11-2020";"24-11-2020";96;476,1;0;0;1;5
"Albrandswaard";613;"Albrandswaard";25590;"11-11-2020";"24-11-2020";162;633,1;5;19,5;1;3,9
"Alkmaar";361;"Alkmaar";109436;"11-11-2020";"24-11-2020";461;421,3;5;4,6;3;2,7
"Almelo";141;"Almelo";73107;"11-11-2020";"24-11-2020";549;751;1;1,4;4;5,5
"Almere";34;"Almere";211893;"11-11-2020";"24-11-2020";986;465,3;6;2,8;4;1,9
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"11-11-2020";"24-11-2020";709;633,6;8;7,1;7;6,3
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"11-11-2020";"24-11-2020";84;823,3;2;19,6;0;0
"Altena";1959;"Altena";55967;"11-11-2020";"24-11-2020";457;816,6;2;3,6;8;14,3
"Ameland";60;"Ameland";3716;"11-11-2020";"24-11-2020";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"11-11-2020";"24-11-2020";730;464,2;14;8,9;11;7
"Amstelveen";362;"Amstelveen";91675;"11-11-2020";"24-11-2020";279;304,3;2;2,2;5;5,5
"Amsterdam";363;"Amsterdam";872757;"11-11-2020";"24-11-2020";4127;472,9;60;6,9;36;4,1
"Apeldoorn";200;"Apeldoorn";163818;"11-11-2020";"24-11-2020";463;282,6;7;4,3;6;3,7
"Appingedam";3;"Appingedam";11642;"11-11-2020";"24-11-2020";27;231,9;0;0;0;0
"Arnhem";202;"Arnhem";161348;"11-11-2020";"24-11-2020";672;416,5;3;1,9;12;7,4
"Assen";106;"Assen";68599;"11-11-2020";"24-11-2020";170;247,8;4;5,8;3;4,4
"Asten";743;"Asten";16721;"11-11-2020";"24-11-2020";68;406,7;1;6;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"11-11-2020";"24-11-2020";39;568,6;0;0;1;14,6
"Baarn";308;"Baarn";24868;"11-11-2020";"24-11-2020";86;345,8;4;16,1;0;0
"Barendrecht";489;"Barendrecht";48714;"11-11-2020";"24-11-2020";215;441,4;6;12,3;2;4,1
"Barneveld";203;"Barneveld";59082;"11-11-2020";"24-11-2020";361;611;1;1,7;3;5,1
"Beek";888;"Beek";15865;"11-11-2020";"24-11-2020";74;466,4;0;0;1;6,3
"Beekdaelen";1954;"Beekdaelen";35938;"11-11-2020";"24-11-2020";120;333,9;0;0;1;2,8
