"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"14-10-2020";"27-10-2020";66;259,4;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"14-10-2020";"27-10-2020";290;910,3;0;0;1;3,1
"Aalten";197;"Aalten";27121;"14-10-2020";"27-10-2020";147;542;0;0;1;3,7
"Achtkarspelen";59;"Achtkarspelen";27843;"14-10-2020";"27-10-2020";62;222,7;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"14-10-2020";"27-10-2020";260;1289,4;0;0;4;19,8
"Albrandswaard";613;"Albrandswaard";25590;"14-10-2020";"27-10-2020";379;1481;4;15,6;4;15,6
"Alkmaar";361;"Alkmaar";109436;"14-10-2020";"27-10-2020";663;605,8;6;5,5;1;0,9
"Almelo";141;"Almelo";73107;"14-10-2020";"27-10-2020";651;890,5;1;1,4;2;2,7
"Almere";34;"Almere";211893;"14-10-2020";"27-10-2020";1458;688,1;14;6,6;2;0,9
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"14-10-2020";"27-10-2020";1021;912,4;15;13,4;6;5,4
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"14-10-2020";"27-10-2020";69;676,3;0;0;0;0
"Altena";1959;"Altena";55967;"14-10-2020";"27-10-2020";364;650,4;2;3,6;4;7,1
"Ameland";60;"Ameland";3716;"14-10-2020";"27-10-2020";19;511,3;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"14-10-2020";"27-10-2020";1243;790,3;14;8,9;3;1,9
"Amstelveen";362;"Amstelveen";91675;"14-10-2020";"27-10-2020";726;791,9;6;6,5;7;7,6
"Amsterdam";363;"Amsterdam";872757;"14-10-2020";"27-10-2020";9059;1038;137;15,7;30;3,4
"Apeldoorn";200;"Apeldoorn";163818;"14-10-2020";"27-10-2020";722;440,7;8;4,9;3;1,8
"Appingedam";3;"Appingedam";11642;"14-10-2020";"27-10-2020";18;154,6;3;25,8;0;0
"Arnhem";202;"Arnhem";161348;"14-10-2020";"27-10-2020";916;567,7;17;10,5;1;0,6
"Assen";106;"Assen";68599;"14-10-2020";"27-10-2020";314;457,7;2;2,9;0;0
