"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"15-04-2020";"28-04-2020";3;11,8;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"15-04-2020";"28-04-2020";6;18,8;0;0;0;0
"Aalten";197;"Aalten";27121;"15-04-2020";"28-04-2020";24;88,5;2;7,4;2;7,4
"Achtkarspelen";59;"Achtkarspelen";27843;"15-04-2020";"28-04-2020";5;18;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"15-04-2020";"28-04-2020";11;54,5;2;9,9;1;5
"Albrandswaard";613;"Albrandswaard";25590;"15-04-2020";"28-04-2020";25;97,7;1;3,9;3;11,7
"Alkmaar";361;"Alkmaar";109436;"15-04-2020";"28-04-2020";45;41,1;3;2,7;5;4,6
"Almelo";141;"Almelo";73107;"15-04-2020";"28-04-2020";19;26;2;2,7;4;5,5
"Almere";34;"Almere";211893;"15-04-2020";"28-04-2020";126;59,5;15;7,1;10;4,7
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"15-04-2020";"28-04-2020";47;42;5;4,5;10;8,9
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"15-04-2020";"28-04-2020";6;58,8;0;0;1;9,8
"Altena";1959;"Altena";55967;"15-04-2020";"28-04-2020";27;48,2;0;0;1;1,8
"Ameland";60;"Ameland";3716;"15-04-2020";"28-04-2020";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"15-04-2020";"28-04-2020";45;28,6;3;1,9;5;3,2
"Amstelveen";362;"Amstelveen";91675;"15-04-2020";"28-04-2020";75;81,8;6;6,5;6;6,5
"Amsterdam";363;"Amsterdam";872757;"15-04-2020";"28-04-2020";595;68,2;74;8,5;84;9,6
"Apeldoorn";200;"Apeldoorn";163818;"15-04-2020";"28-04-2020";149;91;15;9,2;16;9,8
"Appingedam";3;"Appingedam";11642;"15-04-2020";"28-04-2020";3;25,8;1;8,6;0;0
"Arnhem";202;"Arnhem";161348;"15-04-2020";"28-04-2020";69;42,8;6;3,7;8;5
"Assen";106;"Assen";68599;"15-04-2020";"28-04-2020";7;10,2;0;0;0;0
"Asten";743;"Asten";16721;"15-04-2020";"28-04-2020";19;113,6;3;17,9;4;23,9
"Baarle-Nassau";744;"Baarle-Nassau";6859;"15-04-2020";"28-04-2020";6;87,5;1;14,6;0;0
"Baarn";308;"Baarn";24868;"15-04-2020";"28-04-2020";17;68,4;1;4;5;20,1
"Barendrecht";489;"Barendrecht";48714;"15-04-2020";"28-04-2020";30;61,6;5;10,3;4;8,2
"Barneveld";203;"Barneveld";59082;"15-04-2020";"28-04-2020";25;42,3;5;8,5;1;1,7
"Beek";888;"Beek";15865;"15-04-2020";"28-04-2020";11;69,3;1;6,3;1;6,3
"Beekdaelen";1954;"Beekdaelen";35938;"15-04-2020";"28-04-2020";57;158,6;8;22,3;2;5,6
"Beemster";370;"Beemster";10022;"15-04-2020";"28-04-2020";1;10;0;0;0;0
"Beesel";889;"Beesel";13482;"15-04-2020";"28-04-2020";8;59,3;0;0;1;7,4
"Berg en Dal";1945;"Berg en Dal";34992;"15-04-2020";"28-04-2020";33;94,3;2;5,7;3;8,6
"Bergeijk";1724;"Bergeijk";18635;"15-04-2020";"28-04-2020";12;64,4;2;10,7;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"15-04-2020";"28-04-2020";8;61,1;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"15-04-2020";"28-04-2020";5;16,8;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"15-04-2020";"28-04-2020";40;59,3;0;0;4;5,9
"Berkelland";1859;"Berkelland";43747;"15-04-2020";"28-04-2020";32;73,1;0;0;5;11,4
"Bernheze";1721;"Bernheze";31240;"15-04-2020";"28-04-2020";50;160,1;5;16;11;35,2
"Best";753;"Best";29988;"15-04-2020";"28-04-2020";15;50;0;0;3;10
"Beuningen";209;"Beuningen";25890;"15-04-2020";"28-04-2020";17;65,7;0;0;1;3,9
"Beverwijk";375;"Beverwijk";41626;"15-04-2020";"28-04-2020";13;31,2;0;0;3;7,2
"Bladel";1728;"Bladel";20390;"15-04-2020";"28-04-2020";10;49;2;9,8;1;4,9
"Blaricum";376;"Blaricum";11540;"15-04-2020";"28-04-2020";7;60,7;2;17,3;0;0
"Bloemendaal";377;"Bloemendaal";23571;"15-04-2020";"28-04-2020";6;25,5;1;4,2;1;4,2
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"15-04-2020";"28-04-2020";17;48,7;0;0;0;0
"Boekel";755;"Boekel";10785;"15-04-2020";"28-04-2020";5;46,4;0;0;3;27,8
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"15-04-2020";"28-04-2020";4;15,7;1;3,9;0;0
"Borne";147;"Borne";23312;"15-04-2020";"28-04-2020";7;30;0;0;0;0
"Borsele";654;"Borsele";22739;"15-04-2020";"28-04-2020";3;13,2;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"15-04-2020";"28-04-2020";31;105,6;0;0;8;27,2
"Boxtel";757;"Boxtel";30801;"15-04-2020";"28-04-2020";18;58,4;3;9,7;2;6,5
"Breda";758;"Breda";184069;"15-04-2020";"28-04-2020";66;35,9;5;2,7;5;2,7
"Brielle";501;"Brielle";17271;"15-04-2020";"28-04-2020";4;23,2;0;0;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"15-04-2020";"28-04-2020";31;86;4;11,1;2;5,5
"Brummen";213;"Brummen";20726;"15-04-2020";"28-04-2020";8;38,6;2;9,6;2;9,6
"Brunssum";899;"Brunssum";27821;"15-04-2020";"28-04-2020";20;71,9;8;28,8;4;14,4
