"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"18-03-2020";"31-03-2020";5;19,7;1;3,9;0;0
"Aalsmeer";358;"Aalsmeer";31859;"18-03-2020";"31-03-2020";16;50,2;5;15,7;2;6,3
"Aalten";197;"Aalten";27121;"18-03-2020";"31-03-2020";9;33,2;4;14,7;1;3,7
"Achtkarspelen";59;"Achtkarspelen";27843;"18-03-2020";"31-03-2020";2;7,2;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"18-03-2020";"31-03-2020";8;39,7;4;19,8;0;0
"Albrandswaard";613;"Albrandswaard";25590;"18-03-2020";"31-03-2020";25;97,7;5;19,5;2;7,8
"Alkmaar";361;"Alkmaar";109436;"18-03-2020";"31-03-2020";47;42,9;26;23,8;5;4,6
"Almelo";141;"Almelo";73107;"18-03-2020";"31-03-2020";25;34,2;12;16,4;3;4,1
"Almere";34;"Almere";211893;"18-03-2020";"31-03-2020";81;38,2;59;27,8;1;0,5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"18-03-2020";"31-03-2020";49;43,8;31;27,7;2;1,8
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"18-03-2020";"31-03-2020";23;225,4;10;98;4;39,2
"Altena";1959;"Altena";55967;"18-03-2020";"31-03-2020";38;67,9;15;26,8;2;3,6
"Ameland";60;"Ameland";3716;"18-03-2020";"31-03-2020";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"18-03-2020";"31-03-2020";49;31,2;24;15,3;9;5,7
"Amstelveen";362;"Amstelveen";91675;"18-03-2020";"31-03-2020";87;94,9;29;31,6;5;5,5
"Amsterdam";363;"Amsterdam";872757;"18-03-2020";"31-03-2020";589;67,5;252;28,9;32;3,7
"Apeldoorn";200;"Apeldoorn";163818;"18-03-2020";"31-03-2020";70;42,7;43;26,2;6;3,7
"Appingedam";3;"Appingedam";11642;"18-03-2020";"31-03-2020";1;8,6;1;8,6;0;0
"Arnhem";202;"Arnhem";161348;"18-03-2020";"31-03-2020";61;37,8;35;21,7;3;1,9
"Assen";106;"Assen";68599;"18-03-2020";"31-03-2020";15;21,9;8;11,7;2;2,9
"Asten";743;"Asten";16721;"18-03-2020";"31-03-2020";18;107,6;5;29,9;2;12
"Baarle-Nassau";744;"Baarle-Nassau";6859;"18-03-2020";"31-03-2020";12;175;7;102,1;1;14,6
"Baarn";308;"Baarn";24868;"18-03-2020";"31-03-2020";12;48,3;7;28,1;0;0
"Barendrecht";489;"Barendrecht";48714;"18-03-2020";"31-03-2020";33;67,7;17;34,9;2;4,1
"Barneveld";203;"Barneveld";59082;"18-03-2020";"31-03-2020";25;42,3;7;11,8;2;3,4
"Beek";888;"Beek";15865;"18-03-2020";"31-03-2020";16;100,9;8;50,4;1;6,3
"Beekdaelen";1954;"Beekdaelen";35938;"18-03-2020";"31-03-2020";27;75,1;20;55,7;5;13,9
"Beemster";370;"Beemster";10022;"18-03-2020";"31-03-2020";6;59,9;3;29,9;1;10
"Beesel";889;"Beesel";13482;"18-03-2020";"31-03-2020";16;118,7;11;81,6;3;22,3
"Berg en Dal";1945;"Berg en Dal";34992;"18-03-2020";"31-03-2020";48;137,2;15;42,9;7;20
"Bergeijk";1724;"Bergeijk";18635;"18-03-2020";"31-03-2020";18;96,6;9;48,3;2;10,7
"Bergen (L.)";893;"Bergen (L.)";13085;"18-03-2020";"31-03-2020";4;30,6;4;30,6;0;0
