"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Aalten";197;"Aalten";27121;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"19-02-2020";"03-03-2020";0;0;1;0,9;0;0
"Almelo";141;"Almelo";73107;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Almere";34;"Almere";211893;"19-02-2020";"03-03-2020";1;0,5;2;0,9;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"19-02-2020";"03-03-2020";1;0,9;0;0;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Altena";1959;"Altena";55967;"19-02-2020";"03-03-2020";4;7,1;2;3,6;0;0
"Ameland";60;"Ameland";3716;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Amstelveen";362;"Amstelveen";91675;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Amsterdam";363;"Amsterdam";872757;"19-02-2020";"03-03-2020";4;0,5;0;0;0;0
"Apeldoorn";200;"Apeldoorn";163818;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Appingedam";3;"Appingedam";11642;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Arnhem";202;"Arnhem";161348;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Assen";106;"Assen";68599;"19-02-2020";"03-03-2020";0;0;0;0;0;0
"Asten";743;"Asten";16721;"19-02-2020";"03-03-2020";0;0;0;0;0;0
