"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"22-07-2020";"04-08-2020";6;18,8;0;0;0;0
"Aalten";197;"Aalten";27121;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"22-07-2020";"04-08-2020";4;14,4;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"22-07-2020";"04-08-2020";3;14,9;1;5;0;0
"Albrandswaard";613;"Albrandswaard";25590;"22-07-2020";"04-08-2020";12;46,9;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"22-07-2020";"04-08-2020";16;14,6;0;0;0;0
"Almelo";141;"Almelo";73107;"22-07-2020";"04-08-2020";3;4,1;0;0;0;0
"Almere";34;"Almere";211893;"22-07-2020";"04-08-2020";63;29,7;4;1,9;1;0,5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"22-07-2020";"04-08-2020";11;9,8;0;0;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"22-07-2020";"04-08-2020";8;78,4;0;0;0;0
"Altena";1959;"Altena";55967;"22-07-2020";"04-08-2020";14;25;0;0;0;0
"Ameland";60;"Ameland";3716;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"22-07-2020";"04-08-2020";18;11,4;3;1,9;0;0
"Amstelveen";362;"Amstelveen";91675;"22-07-2020";"04-08-2020";36;39,3;0;0;0;0
"Amsterdam";363;"Amsterdam";872757;"22-07-2020";"04-08-2020";638;73,1;15;1,7;0;0
"Apeldoorn";200;"Apeldoorn";163818;"22-07-2020";"04-08-2020";15;9,2;1;0,6;0;0
"Appingedam";3;"Appingedam";11642;"22-07-2020";"04-08-2020";0;0;0;0;0;0
"Arnhem";202;"Arnhem";161348;"22-07-2020";"04-08-2020";15;9,3;0;0;0;0
"Assen";106;"Assen";68599;"22-07-2020";"04-08-2020";1;1,5;0;0;0;0
"Asten";743;"Asten";16721;"22-07-2020";"04-08-2020";2;12;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"22-07-2020";"04-08-2020";2;29,2;0;0;0;0
"Baarn";308;"Baarn";24868;"22-07-2020";"04-08-2020";2;8;0;0;0;0
