"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Aalten";197;"Aalten";27121;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"24-06-2020";"07-07-2020";1;3,6;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"24-06-2020";"07-07-2020";5;19,5;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"24-06-2020";"07-07-2020";2;1,8;0;0;0;0
"Almelo";141;"Almelo";73107;"24-06-2020";"07-07-2020";2;2,7;0;0;0;0
"Almere";34;"Almere";211893;"24-06-2020";"07-07-2020";8;3,8;0;0;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"24-06-2020";"07-07-2020";4;3,6;0;0;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Altena";1959;"Altena";55967;"24-06-2020";"07-07-2020";3;5,4;0;0;0;0
"Ameland";60;"Ameland";3716;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"24-06-2020";"07-07-2020";6;3,8;1;0,6;0;0
"Amstelveen";362;"Amstelveen";91675;"24-06-2020";"07-07-2020";5;5,5;0;0;0;0
"Amsterdam";363;"Amsterdam";872757;"24-06-2020";"07-07-2020";72;8,2;1;0,1;0;0
"Apeldoorn";200;"Apeldoorn";163818;"24-06-2020";"07-07-2020";4;2,4;0;0;0;0
"Appingedam";3;"Appingedam";11642;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Arnhem";202;"Arnhem";161348;"24-06-2020";"07-07-2020";5;3,1;0;0;0;0
"Assen";106;"Assen";68599;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Asten";743;"Asten";16721;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Baarn";308;"Baarn";24868;"24-06-2020";"07-07-2020";1;4;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"24-06-2020";"07-07-2020";1;2,1;0;0;0;0
"Barneveld";203;"Barneveld";59082;"24-06-2020";"07-07-2020";6;10,2;0;0;0;0
"Beek";888;"Beek";15865;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Beemster";370;"Beemster";10022;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Beesel";889;"Beesel";13482;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"24-06-2020";"07-07-2020";2;5,7;0;0;0;0
"Bergeijk";1724;"Bergeijk";18635;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"24-06-2020";"07-07-2020";2;3;0;0;1;1,5
"Berkelland";1859;"Berkelland";43747;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Bernheze";1721;"Bernheze";31240;"24-06-2020";"07-07-2020";3;9,6;0;0;0;0
"Best";753;"Best";29988;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Beuningen";209;"Beuningen";25890;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Beverwijk";375;"Beverwijk";41626;"24-06-2020";"07-07-2020";1;2,4;0;0;0;0
"Bladel";1728;"Bladel";20390;"24-06-2020";"07-07-2020";4;19,6;0;0;0;0
"Blaricum";376;"Blaricum";11540;"24-06-2020";"07-07-2020";3;26;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"24-06-2020";"07-07-2020";5;14,3;0;0;0;0
"Boekel";755;"Boekel";10785;"24-06-2020";"07-07-2020";1;9,3;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"24-06-2020";"07-07-2020";1;3,9;0;0;0;0
"Borne";147;"Borne";23312;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Borsele";654;"Borsele";22739;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Boxtel";757;"Boxtel";30801;"24-06-2020";"07-07-2020";5;16,2;0;0;0;0
"Breda";758;"Breda";184069;"24-06-2020";"07-07-2020";11;6;1;0,5;0;0
"Brielle";501;"Brielle";17271;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Brummen";213;"Brummen";20726;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Brunssum";899;"Brunssum";27821;"24-06-2020";"07-07-2020";2;7,2;0;0;0;0
"Bunnik";312;"Bunnik";15191;"24-06-2020";"07-07-2020";1;6,6;0;0;0;0
"Bunschoten";313;"Bunschoten";21866;"24-06-2020";"07-07-2020";2;9,1;0;0;0;0
"Buren";214;"Buren";26749;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"24-06-2020";"07-07-2020";11;16,4;0;0;0;0
"Castricum";383;"Castricum";35986;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Coevorden";109;"Coevorden";35297;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Cranendonck";1706;"Cranendonck";21138;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Cuijk";1684;"Cuijk";25130;"24-06-2020";"07-07-2020";1;4;0;0;0;0
"Culemborg";216;"Culemborg";28955;"24-06-2020";"07-07-2020";2;6,9;0;0;0;0
"Dalfsen";148;"Dalfsen";28587;"24-06-2020";"07-07-2020";1;3,5;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"De Bilt";310;"De Bilt";43137;"24-06-2020";"07-07-2020";4;9,3;0;0;0;0
"De Fryske Marren";1940;"De Fryske Marren";51564;"24-06-2020";"07-07-2020";2;3,9;0;0;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"24-06-2020";"07-07-2020";1;2,2;0;0;0;0
"De Wolden";1690;"De Wolden";24330;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Delft";503;"Delft";103595;"24-06-2020";"07-07-2020";8;7,7;0;0;0;0
"Delfzijl";10;"Delfzijl";24678;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Den Helder";400;"Den Helder";56296;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Deurne";762;"Deurne";32471;"24-06-2020";"07-07-2020";1;3,1;0;0;0;0
"Deventer";150;"Deventer";100719;"24-06-2020";"07-07-2020";25;24,8;0;0;0;0
"Diemen";384;"Diemen";30780;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Dinkelland";1774;"Dinkelland";26461;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Doesburg";221;"Doesburg";11077;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Doetinchem";222;"Doetinchem";58001;"24-06-2020";"07-07-2020";1;1,7;0;0;0;0
"Dongen";766;"Dongen";26222;"24-06-2020";"07-07-2020";1;3,8;0;0;0;0
"Dordrecht";505;"Dordrecht";119284;"24-06-2020";"07-07-2020";6;5;0;0;0;0
"Drechterland";498;"Drechterland";19719;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Dronten";303;"Dronten";41555;"24-06-2020";"07-07-2020";3;7,2;0;0;0;0
"Druten";225;"Druten";18926;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Duiven";226;"Duiven";25126;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"24-06-2020";"07-07-2020";1;2,8;0;0;0;0
"Ede";228;"Ede";117165;"24-06-2020";"07-07-2020";1;0,9;0;0;0;0
"Eemnes";317;"Eemnes";9247;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Eersel";770;"Eersel";19313;"24-06-2020";"07-07-2020";1;5,2;1;5,2;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"24-06-2020";"07-07-2020";1;3,9;0;0;0;0
"Eindhoven";772;"Eindhoven";234394;"24-06-2020";"07-07-2020";9;3,8;0;0;0;0
"Elburg";230;"Elburg";23161;"24-06-2020";"07-07-2020";1;4,3;0;0;0;0
"Emmen";114;"Emmen";107048;"24-06-2020";"07-07-2020";1;0,9;0;0;0;0
"Enkhuizen";388;"Enkhuizen";18591;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Enschede";153;"Enschede";159640;"24-06-2020";"07-07-2020";8;5;0;0;1;0,6
"Epe";232;"Epe";33178;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Ermelo";233;"Ermelo";27008;"24-06-2020";"07-07-2020";2;7,4;0;0;0;0
"Etten-Leur";777;"Etten-Leur";43878;"24-06-2020";"07-07-2020";2;4,6;0;0;0;0
"Geertruidenberg";779;"Geertruidenberg";21544;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"24-06-2020";"07-07-2020";2;6,5;0;0;1;3,3
"Gennep";907;"Gennep";16921;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"24-06-2020";"07-07-2020";1;3,8;0;0;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Goes";664;"Goes";38082;"24-06-2020";"07-07-2020";6;15,8;0;0;0;0
"Goirle";785;"Goirle";23904;"24-06-2020";"07-07-2020";2;8,4;0;0;0;0
"Gooise Meren";1942;"Gooise Meren";58055;"24-06-2020";"07-07-2020";7;12,1;0;0;0;0
"Gorinchem";512;"Gorinchem";37022;"24-06-2020";"07-07-2020";1;2,7;0;0;0;0
"Gouda";513;"Gouda";73427;"24-06-2020";"07-07-2020";3;4,1;1;1,4;0;0
"Grave";786;"Grave";12436;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"'s-Gravenhage";518;"'s-Gravenhage";545838;"24-06-2020";"07-07-2020";72;13,2;1;0,2;5;0,9
"Groningen";14;"Groningen";232874;"24-06-2020";"07-07-2020";4;1,7;0;0;0;0
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"24-06-2020";"07-07-2020";1;7,1;0;0;0;0
"Haaksbergen";158;"Haaksbergen";24311;"24-06-2020";"07-07-2020";1;4,1;0;0;0;0
"Haaren";788;"Haaren";14370;"24-06-2020";"07-07-2020";3;20,9;0;0;0;0
"Haarlem";392;"Haarlem";162902;"24-06-2020";"07-07-2020";5;3,1;0;0;0;0
"Haarlemmermeer";394;"Haarlemmermeer";156002;"24-06-2020";"07-07-2020";4;2,6;0;0;0;0
"Halderberge";1655;"Halderberge";30284;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Hardenberg";160;"Hardenberg";60948;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Harderwijk";243;"Harderwijk";48414;"24-06-2020";"07-07-2020";1;2,1;0;0;0;0
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Harlingen";72;"Harlingen";15722;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Hattem";244;"Hattem";12209;"24-06-2020";"07-07-2020";0;0;0;0;0;0
"Heemskerk";396;"Heemskerk";39182;"24-06-2020";"07-07-2020";2;5,1;0;0;0;0
"Heemstede";397;"Heemstede";27234;"24-06-2020";"07-07-2020";5;18,4;0;0;0;0
"Heerde";246;"Heerde";18589;"24-06-2020";"07-07-2020";1;5,4;0;0;0;0
"Heerenveen";74;"Heerenveen";50493;"24-06-2020";"07-07-2020";1;2;0;0;0;0
"Heerhugowaard";398;"Heerhugowaard";57587;"24-06-2020";"07-07-2020";0;0;0;0;0;0
