"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"27-05-2020";"09-06-2020";0;0;0;0;1;3,1
"Aalten";197;"Aalten";27121;"27-05-2020";"09-06-2020";1;3,7;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"27-05-2020";"09-06-2020";6;23,4;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"27-05-2020";"09-06-2020";0;0;0;0;1;0,9
"Almelo";141;"Almelo";73107;"27-05-2020";"09-06-2020";0;0;0;0;1;1,4
"Almere";34;"Almere";211893;"27-05-2020";"09-06-2020";21;9,9;1;0,5;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"27-05-2020";"09-06-2020";13;11,6;1;0,9;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Altena";1959;"Altena";55967;"27-05-2020";"09-06-2020";6;10,7;0;0;0;0
"Ameland";60;"Ameland";3716;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"27-05-2020";"09-06-2020";9;5,7;0;0;0;0
"Amstelveen";362;"Amstelveen";91675;"27-05-2020";"09-06-2020";8;8,7;1;1,1;0;0
"Amsterdam";363;"Amsterdam";872757;"27-05-2020";"09-06-2020";158;18,1;5;0,6;7;0,8
"Apeldoorn";200;"Apeldoorn";163818;"27-05-2020";"09-06-2020";37;22,6;2;1,2;0;0
"Appingedam";3;"Appingedam";11642;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Arnhem";202;"Arnhem";161348;"27-05-2020";"09-06-2020";59;36,6;1;0,6;1;0,6
"Assen";106;"Assen";68599;"27-05-2020";"09-06-2020";1;1,5;0;0;0;0
"Asten";743;"Asten";16721;"27-05-2020";"09-06-2020";2;12;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Baarn";308;"Baarn";24868;"27-05-2020";"09-06-2020";3;12,1;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"27-05-2020";"09-06-2020";3;6,2;0;0;0;0
"Barneveld";203;"Barneveld";59082;"27-05-2020";"09-06-2020";4;6,8;0;0;0;0
"Beek";888;"Beek";15865;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"27-05-2020";"09-06-2020";5;13,9;1;2,8;1;2,8
"Beemster";370;"Beemster";10022;"27-05-2020";"09-06-2020";2;20;0;0;0;0
"Beesel";889;"Beesel";13482;"27-05-2020";"09-06-2020";3;22,3;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"27-05-2020";"09-06-2020";8;22,9;0;0;0;0
"Bergeijk";1724;"Bergeijk";18635;"27-05-2020";"09-06-2020";3;16,1;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"27-05-2020";"09-06-2020";1;7,6;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"27-05-2020";"09-06-2020";12;17,8;0;0;1;1,5
"Berkelland";1859;"Berkelland";43747;"27-05-2020";"09-06-2020";3;6,9;0;0;0;0
"Bernheze";1721;"Bernheze";31240;"27-05-2020";"09-06-2020";5;16;0;0;0;0
"Best";753;"Best";29988;"27-05-2020";"09-06-2020";4;13,3;0;0;0;0
"Beuningen";209;"Beuningen";25890;"27-05-2020";"09-06-2020";1;3,9;0;0;0;0
"Beverwijk";375;"Beverwijk";41626;"27-05-2020";"09-06-2020";3;7,2;0;0;0;0
"Bladel";1728;"Bladel";20390;"27-05-2020";"09-06-2020";3;14,7;0;0;0;0
"Blaricum";376;"Blaricum";11540;"27-05-2020";"09-06-2020";1;8,7;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"27-05-2020";"09-06-2020";4;17;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"27-05-2020";"09-06-2020";1;2,9;0;0;0;0
"Boekel";755;"Boekel";10785;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Borne";147;"Borne";23312;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Borsele";654;"Borsele";22739;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"27-05-2020";"09-06-2020";3;10,2;0;0;0;0
"Boxtel";757;"Boxtel";30801;"27-05-2020";"09-06-2020";23;74,7;0;0;3;9,7
"Breda";758;"Breda";184069;"27-05-2020";"09-06-2020";10;5,4;0;0;1;0,5
"Brielle";501;"Brielle";17271;"27-05-2020";"09-06-2020";1;5,8;0;0;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"27-05-2020";"09-06-2020";2;5,5;0;0;0;0
"Brummen";213;"Brummen";20726;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Brunssum";899;"Brunssum";27821;"27-05-2020";"09-06-2020";5;18;0;0;2;7,2
"Bunnik";312;"Bunnik";15191;"27-05-2020";"09-06-2020";2;13,2;0;0;0;0
"Bunschoten";313;"Bunschoten";21866;"27-05-2020";"09-06-2020";2;9,1;0;0;0;0
"Buren";214;"Buren";26749;"27-05-2020";"09-06-2020";12;44,9;0;0;0;0
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"27-05-2020";"09-06-2020";9;13,4;0;0;1;1,5
"Castricum";383;"Castricum";35986;"27-05-2020";"09-06-2020";1;2,8;0;0;0;0
"Coevorden";109;"Coevorden";35297;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Cranendonck";1706;"Cranendonck";21138;"27-05-2020";"09-06-2020";2;9,5;0;0;0;0
"Cuijk";1684;"Cuijk";25130;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"Culemborg";216;"Culemborg";28955;"27-05-2020";"09-06-2020";8;27,6;0;0;0;0
"Dalfsen";148;"Dalfsen";28587;"27-05-2020";"09-06-2020";1;3,5;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"27-05-2020";"09-06-2020";0;0;0;0;0;0
"De Bilt";310;"De Bilt";43137;"27-05-2020";"09-06-2020";5;11,6;1;2,3;2;4,6
"De Fryske Marren";1940;"De Fryske Marren";51564;"27-05-2020";"09-06-2020";4;7,8;0;0;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"27-05-2020";"09-06-2020";5;11,2;0;0;2;4,5
"De Wolden";1690;"De Wolden";24330;"27-05-2020";"09-06-2020";3;12,3;0;0;0;0
"Delft";503;"Delft";103595;"27-05-2020";"09-06-2020";8;7,7;0;0;0;0
"Delfzijl";10;"Delfzijl";24678;"27-05-2020";"09-06-2020";1;4,1;0;0;0;0
