"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"28-10-2020";"10-11-2020";34;133,6;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"28-10-2020";"10-11-2020";241;756,5;4;12,6;9;28,2
"Aalten";197;"Aalten";27121;"28-10-2020";"10-11-2020";139;512,5;0;0;3;11,1
"Achtkarspelen";59;"Achtkarspelen";27843;"28-10-2020";"10-11-2020";40;143,7;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"28-10-2020";"10-11-2020";223;1105,9;0;0;3;14,9
"Albrandswaard";613;"Albrandswaard";25590;"28-10-2020";"10-11-2020";213;832,4;2;7,8;3;11,7
"Alkmaar";361;"Alkmaar";109436;"28-10-2020";"10-11-2020";595;543,7;6;5,5;7;6,4
"Almelo";141;"Almelo";73107;"28-10-2020";"10-11-2020";729;997,2;4;5,5;6;8,2
"Almere";34;"Almere";211893;"28-10-2020";"10-11-2020";1258;593,7;4;1,9;5;2,4
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"28-10-2020";"10-11-2020";793;708,7;6;5,4;9;8
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"28-10-2020";"10-11-2020";72;705,7;0;0;0;0
"Altena";1959;"Altena";55967;"28-10-2020";"10-11-2020";493;880,9;2;3,6;10;17,9
"Ameland";60;"Ameland";3716;"28-10-2020";"10-11-2020";5;134,6;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"28-10-2020";"10-11-2020";912;579,9;7;4,5;11;7
"Amstelveen";362;"Amstelveen";91675;"28-10-2020";"10-11-2020";469;511,6;6;6,5;6;6,5
"Amsterdam";363;"Amsterdam";872757;"28-10-2020";"10-11-2020";5383;616,8;75;8,6;38;4,4
"Apeldoorn";200;"Apeldoorn";163818;"28-10-2020";"10-11-2020";693;423;4;2,4;3;1,8
"Appingedam";3;"Appingedam";11642;"28-10-2020";"10-11-2020";13;111,7;0;0;1;8,6
"Arnhem";202;"Arnhem";161348;"28-10-2020";"10-11-2020";875;542,3;12;7,4;21;13
"Assen";106;"Assen";68599;"28-10-2020";"10-11-2020";173;252,2;2;2,9;1;1,5
"Asten";743;"Asten";16721;"28-10-2020";"10-11-2020";112;669,8;0;0;2;12
"Baarle-Nassau";744;"Baarle-Nassau";6859;"28-10-2020";"10-11-2020";52;758,1;1;14,6;0;0
"Baarn";308;"Baarn";24868;"28-10-2020";"10-11-2020";115;462,4;2;8;4;16,1
"Barendrecht";489;"Barendrecht";48714;"28-10-2020";"10-11-2020";349;716,4;7;14,4;9;18,5
"Barneveld";203;"Barneveld";59082;"28-10-2020";"10-11-2020";421;712,6;4;6,8;3;5,1
"Beek";888;"Beek";15865;"28-10-2020";"10-11-2020";58;365,6;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"28-10-2020";"10-11-2020";140;389,6;1;2,8;1;2,8
"Beemster";370;"Beemster";10022;"28-10-2020";"10-11-2020";57;568,7;0;0;0;0
"Beesel";889;"Beesel";13482;"28-10-2020";"10-11-2020";54;400,5;1;7,4;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"28-10-2020";"10-11-2020";268;765,9;2;5,7;4;11,4
"Bergeijk";1724;"Bergeijk";18635;"28-10-2020";"10-11-2020";134;719,1;0;0;1;5,4
"Bergen (L.)";893;"Bergen (L.)";13085;"28-10-2020";"10-11-2020";87;664,9;0;0;1;7,6
"Bergen (NH.)";373;"Bergen (NH.)";29839;"28-10-2020";"10-11-2020";111;372;1;3,4;8;26,8
"Bergen op Zoom";748;"Bergen op Zoom";67496;"28-10-2020";"10-11-2020";600;888,9;5;7,4;5;7,4
"Berkelland";1859;"Berkelland";43747;"28-10-2020";"10-11-2020";313;715,5;4;9,1;9;20,6
"Bernheze";1721;"Bernheze";31240;"28-10-2020";"10-11-2020";251;803,5;2;6,4;0;0
