"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"29-04-2020";"12-05-2020";1;3,1;0;0;1;3,1
"Aalten";197;"Aalten";27121;"29-04-2020";"12-05-2020";2;7,4;1;3,7;1;3,7
"Achtkarspelen";59;"Achtkarspelen";27843;"29-04-2020";"12-05-2020";1;3,6;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"29-04-2020";"12-05-2020";4;19,8;1;5;1;5
"Albrandswaard";613;"Albrandswaard";25590;"29-04-2020";"12-05-2020";9;35,2;3;11,7;1;3,9
"Alkmaar";361;"Alkmaar";109436;"29-04-2020";"12-05-2020";17;15,5;1;0,9;3;2,7
"Almelo";141;"Almelo";73107;"29-04-2020";"12-05-2020";1;1,4;0;0;0;0
"Almere";34;"Almere";211893;"29-04-2020";"12-05-2020";84;39,6;5;2,4;9;4,2
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"29-04-2020";"12-05-2020";26;23,2;3;2,7;2;1,8
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"29-04-2020";"12-05-2020";1;9,8;0;0;0;0
"Altena";1959;"Altena";55967;"29-04-2020";"12-05-2020";6;10,7;1;1,8;0;0
"Ameland";60;"Ameland";3716;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"29-04-2020";"12-05-2020";23;14,6;2;1,3;1;0,6
"Amstelveen";362;"Amstelveen";91675;"29-04-2020";"12-05-2020";14;15,3;0;0;1;1,1
"Amsterdam";363;"Amsterdam";872757;"29-04-2020";"12-05-2020";310;35,5;40;4,6;43;4,9
"Apeldoorn";200;"Apeldoorn";163818;"29-04-2020";"12-05-2020";32;19,5;0;0;5;3,1
"Appingedam";3;"Appingedam";11642;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"Arnhem";202;"Arnhem";161348;"29-04-2020";"12-05-2020";25;15,5;2;1,2;1;0,6
"Assen";106;"Assen";68599;"29-04-2020";"12-05-2020";4;5,8;0;0;0;0
"Asten";743;"Asten";16721;"29-04-2020";"12-05-2020";3;17,9;0;0;2;12
"Baarle-Nassau";744;"Baarle-Nassau";6859;"29-04-2020";"12-05-2020";2;29,2;0;0;1;14,6
"Baarn";308;"Baarn";24868;"29-04-2020";"12-05-2020";9;36,2;0;0;1;4
"Barendrecht";489;"Barendrecht";48714;"29-04-2020";"12-05-2020";16;32,8;3;6,2;2;4,1
"Barneveld";203;"Barneveld";59082;"29-04-2020";"12-05-2020";16;27,1;0;0;0;0
"Beek";888;"Beek";15865;"29-04-2020";"12-05-2020";3;18,9;0;0;1;6,3
"Beekdaelen";1954;"Beekdaelen";35938;"29-04-2020";"12-05-2020";18;50,1;2;5,6;2;5,6
"Beemster";370;"Beemster";10022;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"Beesel";889;"Beesel";13482;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"29-04-2020";"12-05-2020";8;22,9;1;2,9;1;2,9
"Bergeijk";1724;"Bergeijk";18635;"29-04-2020";"12-05-2020";5;26,8;2;10,7;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"29-04-2020";"12-05-2020";2;15,3;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"29-04-2020";"12-05-2020";6;20,1;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"29-04-2020";"12-05-2020";22;32,6;2;3;1;1,5
"Berkelland";1859;"Berkelland";43747;"29-04-2020";"12-05-2020";5;11,4;1;2,3;1;2,3
"Bernheze";1721;"Bernheze";31240;"29-04-2020";"12-05-2020";11;35,2;1;3,2;6;19,2
"Best";753;"Best";29988;"29-04-2020";"12-05-2020";7;23,3;0;0;0;0
"Beuningen";209;"Beuningen";25890;"29-04-2020";"12-05-2020";6;23,2;1;3,9;0;0
"Beverwijk";375;"Beverwijk";41626;"29-04-2020";"12-05-2020";1;2,4;0;0;1;2,4
"Bladel";1728;"Bladel";20390;"29-04-2020";"12-05-2020";9;44,1;0;0;0;0
"Blaricum";376;"Blaricum";11540;"29-04-2020";"12-05-2020";2;17,3;1;8,7;0;0
"Bloemendaal";377;"Bloemendaal";23571;"29-04-2020";"12-05-2020";4;17;0;0;1;4,2
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"29-04-2020";"12-05-2020";8;22,9;0;0;0;0
"Boekel";755;"Boekel";10785;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"29-04-2020";"12-05-2020";1;3,9;0;0;0;0
"Borne";147;"Borne";23312;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"Borsele";654;"Borsele";22739;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"29-04-2020";"12-05-2020";7;23,8;0;0;4;13,6
"Boxtel";757;"Boxtel";30801;"29-04-2020";"12-05-2020";22;71,4;1;3,2;2;6,5
"Breda";758;"Breda";184069;"29-04-2020";"12-05-2020";23;12,5;0;0;6;3,3
"Brielle";501;"Brielle";17271;"29-04-2020";"12-05-2020";2;11,6;0;0;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"29-04-2020";"12-05-2020";6;16,6;2;5,5;1;2,8
"Brummen";213;"Brummen";20726;"29-04-2020";"12-05-2020";3;14,5;1;4,8;0;0
"Brunssum";899;"Brunssum";27821;"29-04-2020";"12-05-2020";11;39,5;1;3,6;1;3,6
"Bunnik";312;"Bunnik";15191;"29-04-2020";"12-05-2020";5;32,9;0;0;0;0
"Bunschoten";313;"Bunschoten";21866;"29-04-2020";"12-05-2020";6;27,4;0;0;1;4,6
"Buren";214;"Buren";26749;"29-04-2020";"12-05-2020";7;26,2;1;3,7;1;3,7
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"29-04-2020";"12-05-2020";24;35,8;4;6;5;7,4
"Castricum";383;"Castricum";35986;"29-04-2020";"12-05-2020";4;11,1;1;2,8;0;0
"Coevorden";109;"Coevorden";35297;"29-04-2020";"12-05-2020";2;5,7;0;0;0;0
"Cranendonck";1706;"Cranendonck";21138;"29-04-2020";"12-05-2020";7;33,1;1;4,7;3;14,2
"Cuijk";1684;"Cuijk";25130;"29-04-2020";"12-05-2020";3;11,9;0;0;0;0
"Culemborg";216;"Culemborg";28955;"29-04-2020";"12-05-2020";5;17,3;0;0;0;0
"Dalfsen";148;"Dalfsen";28587;"29-04-2020";"12-05-2020";3;10,5;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"De Bilt";310;"De Bilt";43137;"29-04-2020";"12-05-2020";29;67,2;1;2,3;8;18,5
"De Fryske Marren";1940;"De Fryske Marren";51564;"29-04-2020";"12-05-2020";5;9,7;1;1,9;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"29-04-2020";"12-05-2020";8;18;0;0;0;0
"De Wolden";1690;"De Wolden";24330;"29-04-2020";"12-05-2020";0;0;0;0;1;4,1
"Delft";503;"Delft";103595;"29-04-2020";"12-05-2020";15;14,5;0;0;3;2,9
"Delfzijl";10;"Delfzijl";24678;"29-04-2020";"12-05-2020";1;4,1;1;4,1;0;0
"Den Helder";400;"Den Helder";56296;"29-04-2020";"12-05-2020";1;1,8;0;0;0;0
"Deurne";762;"Deurne";32471;"29-04-2020";"12-05-2020";18;55,4;1;3,1;2;6,2
"Deventer";150;"Deventer";100719;"29-04-2020";"12-05-2020";40;39,7;2;2;4;4
"Diemen";384;"Diemen";30780;"29-04-2020";"12-05-2020";14;45,5;1;3,2;2;6,5
"Dinkelland";1774;"Dinkelland";26461;"29-04-2020";"12-05-2020";2;7,6;1;3,8;0;0
"Doesburg";221;"Doesburg";11077;"29-04-2020";"12-05-2020";6;54,2;1;9;0;0
"Doetinchem";222;"Doetinchem";58001;"29-04-2020";"12-05-2020";8;13,8;1;1,7;1;1,7
"Dongen";766;"Dongen";26222;"29-04-2020";"12-05-2020";5;19,1;0;0;2;7,6
"Dordrecht";505;"Dordrecht";119284;"29-04-2020";"12-05-2020";81;67,9;2;1,7;7;5,9
"Drechterland";498;"Drechterland";19719;"29-04-2020";"12-05-2020";1;5,1;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"29-04-2020";"12-05-2020";6;22;0;0;1;3,7
"Dronten";303;"Dronten";41555;"29-04-2020";"12-05-2020";6;14,4;2;4,8;0;0
"Druten";225;"Druten";18926;"29-04-2020";"12-05-2020";4;21,1;0;0;0;0
"Duiven";226;"Duiven";25126;"29-04-2020";"12-05-2020";3;11,9;0;0;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"29-04-2020";"12-05-2020";6;19;0;0;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"29-04-2020";"12-05-2020";10;27,6;2;5,5;0;0
"Ede";228;"Ede";117165;"29-04-2020";"12-05-2020";14;11,9;1;0,9;0;0
"Eemnes";317;"Eemnes";9247;"29-04-2020";"12-05-2020";3;32,4;0;0;0;0
"Eersel";770;"Eersel";19313;"29-04-2020";"12-05-2020";4;20,7;0;0;1;5,2
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"29-04-2020";"12-05-2020";15;58,2;1;3,9;3;11,6
"Eindhoven";772;"Eindhoven";234394;"29-04-2020";"12-05-2020";52;22,2;8;3,4;11;4,7
"Elburg";230;"Elburg";23161;"29-04-2020";"12-05-2020";12;51,8;1;4,3;0;0
"Emmen";114;"Emmen";107048;"29-04-2020";"12-05-2020";6;5,6;0;0;0;0
"Enkhuizen";388;"Enkhuizen";18591;"29-04-2020";"12-05-2020";0;0;0;0;0;0
"Enschede";153;"Enschede";159640;"29-04-2020";"12-05-2020";31;19,4;1;0,6;3;1,9
"Epe";232;"Epe";33178;"29-04-2020";"12-05-2020";9;27,1;1;3;3;9
"Ermelo";233;"Ermelo";27008;"29-04-2020";"12-05-2020";20;74,1;1;3,7;7;25,9
"Etten-Leur";777;"Etten-Leur";43878;"29-04-2020";"12-05-2020";15;34,2;0;0;4;9,1
"Geertruidenberg";779;"Geertruidenberg";21544;"29-04-2020";"12-05-2020";3;13,9;0;0;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"29-04-2020";"12-05-2020";8;20,1;0;0;2;5
