"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"30-09-2020";"13-10-2020";96;377,3;0;0;1;3,9
"Aalsmeer";358;"Aalsmeer";31859;"30-09-2020";"13-10-2020";167;524,2;1;3,1;1;3,1
"Aalten";197;"Aalten";27121;"30-09-2020";"13-10-2020";102;376,1;4;14,7;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"30-09-2020";"13-10-2020";82;294,5;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"30-09-2020";"13-10-2020";166;823,2;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"30-09-2020";"13-10-2020";199;777,6;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"30-09-2020";"13-10-2020";327;298,8;2;1,8;0;0
"Almelo";141;"Almelo";73107;"30-09-2020";"13-10-2020";330;451,4;4;5,5;2;2,7
"Almere";34;"Almere";211893;"30-09-2020";"13-10-2020";895;422,4;14;6,6;1;0,5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"30-09-2020";"13-10-2020";500;446,8;7;6,3;3;2,7
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"30-09-2020";"13-10-2020";26;254,8;0;0;0;0
"Altena";1959;"Altena";55967;"30-09-2020";"13-10-2020";285;509,2;1;1,8;3;5,4
"Ameland";60;"Ameland";3716;"30-09-2020";"13-10-2020";19;511,3;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"30-09-2020";"13-10-2020";662;420,9;7;4,5;3;1,9
"Amstelveen";362;"Amstelveen";91675;"30-09-2020";"13-10-2020";459;500,7;2;2,2;2;2,2
"Amsterdam";363;"Amsterdam";872757;"30-09-2020";"13-10-2020";6808;780,1;116;13,3;11;1,3
"Apeldoorn";200;"Apeldoorn";163818;"30-09-2020";"13-10-2020";398;243;6;3,7;2;1,2
"Appingedam";3;"Appingedam";11642;"30-09-2020";"13-10-2020";17;146;2;17,2;0;0
"Arnhem";202;"Arnhem";161348;"30-09-2020";"13-10-2020";492;304,9;4;2,5;0;0
"Assen";106;"Assen";68599;"30-09-2020";"13-10-2020";172;250,7;0;0;1;1,5
"Asten";743;"Asten";16721;"30-09-2020";"13-10-2020";65;388,7;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"30-09-2020";"13-10-2020";12;175;0;0;0;0
"Baarn";308;"Baarn";24868;"30-09-2020";"13-10-2020";96;386;0;0;2;8
"Barendrecht";489;"Barendrecht";48714;"30-09-2020";"13-10-2020";428;878,6;3;6,2;3;6,2
"Barneveld";203;"Barneveld";59082;"30-09-2020";"13-10-2020";180;304,7;4;6,8;2;3,4
